filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher,language,rosetta collection
130815-07226.tif,130815-07226.jpg,130815-07226,Cadet band conductor D.F. Easterday,"Original caption: ""Cadet band, D.F. Easterday Conductor; Oval portrait of Marching Band Conductor D. F. Easterday, who has large moustache and wears high-collared white shirt and lapeled jacket.",,1883-1889,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,Lincoln (Neb.),40.8327791; -96.6864045,,,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07227.tif,130815-07227.jpg,130815-07227,Marching Band Director August Hagenow,Marching Band Director August Hagenow stands in uniform with several band members holding brass instruments behind him.,,1903,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,Lincoln (Neb.),40.8327791; -96.6864045,,,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07228.tif,130815-07228.jpg,130815-07228,Marching band director Donald Lentz,Marching Band Director Donald Lentz studio portrait; Lentz wears dark suit and tie and has small moustache.,,1937-1973,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,Lincoln (Neb.),40.8327791; -96.6864045,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07229.tif,130815-07229.jpg,130815-07229,Marching band director Billy Quick,"Original caption: ""W.T. ""Billy"" Quick""; in studio portrait, Quick wears dark suit with tie and billed cap.",,1917-1937,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,Lincoln (Neb.),40.8327791; -96.6864045,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07230.tif,130815-07230.jpg,130815-07230,ROTC cadet band at summer band camp,"ROTC cadet band stands in formation at summer band camp, early 1900s; drum major wears tall shako hat; band members wear wide-brimmed hats.",,1900,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07231.tif,130815-07231.jpg,130815-07231,Cadets and cadet band outside University Hall,ROTC cadets and cadet band stand in uniform outside University Hall; some cadets stand on porch and on balcony above porch.,,1884,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07232.tif,130815-07232.jpg,130815-07232,ROTC cadet band halftime show 1911,"ROTC cadet band forms an ""N"" on field in halftime show; fans in bleachers and officials on sidelines.",,1911,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07233.tif,130815-07233.jpg,130815-07233,ROTC cadet band in 1912,"ROTC Cadet regimental band standing on steps of building with ornate columns; bass drum says ""University of Nebraska Regimental Band.""",,1912,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07234.tif,130815-07234.jpg,130815-07234,ROTC cadet band in 1922,"Original caption: ""NEBR - NOTRE DAME GAME 1922""; ROTC cadet band on formation on field during football halftime; fans in bleachers surround field.",,1922,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07235.tif,130815-07235.jpg,130815-07235,Cadet band in Armistice Day parade,"ROTC Cadet band marching in uniform in Armistice Day Parade on ""O"" Street, Lincoln, NE; brick street with trolley car tracks.",,1929,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,Lincoln (Neb.),40.8327791; -96.6864045,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
