filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject/topic,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher/repository,language,rosetta collection
,,130833-00001,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00002,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00003,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00004,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00005,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00006,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00007,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00008,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00009,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
,,130833-00010,,,,,Cornhusker Marching Band,Lincoln (Neb.),,,,,RG130833,Jack Snider Band Papers,,Jack Snider,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
