filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject/topic,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher/repository,language,rosetta collection
130815-07230.tif,130815-07230.jpg,130815-07230,ROTC cadet band at summer band camp,"ROTC cadet band stands in formation at summer band camp, early 1900s; drum major wears tall shako hat; band members wear wide-brimmed hats.",,1900,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07231.tif,130815-07231.jpg,130815-07231,Cadets and cadet band outside University Hall,ROTC cadets and cadet band stand in uniform outside University Hall; some cadets stand on porch and on balcony above porch.,,1884,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07232.tif,130815-07232.jpg,130815-07232,ROTC cadet band halftime show 1911,"ROTC cadet band forms an ""N"" on field in halftime show; fans in bleachers and officials on sidelines.",,1911,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
130815-07433.tif,130815-07433.jpg,130815-07433,ROTC cadet band in 1912,"ROTC Cadet regimental band standing on steps of building with ornate columns; bass drum says ""University of Nebraska Regimental Band.""",,1912,University of Nebraska -- Bands; Marching bands -- Nebraska -- History,University of Nebraska,40.8177792; -96.7016829,,B16,black/white print,RG 13-08-15,"Cornhusker Marching Band, Records",,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg13/rg13-08-15-music
,,320101-03785,University cadets and bands,University cadets on parade. ,1770,1892-1893,Soldiers,University of Nebraska (Lincoln campus),40.8177792; -96.7016829,,B14,,RG 32-01-01,"Erwin H. Barbour, Museum Photograph Series",,University of Nebraska State Museum,"For copyright information, please contact the repository","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg32/rg32-01-01_barbour_photos
421201-00017.tif,421201-00017.jpg,421201-00017,Johnny Carson and marching band,"Original caption: ""Athletics. Football-KU vs. NE action. Homecoming. Johnny Carson and Becke Wagner . Homecoming Luncheon."" Johnny Carson, and Durward ""Woody"" Varner on the football field at Homecoming in 1971 with band and stadium in background.",71-1159,10/16/71,"Carson, Johnny; Varner Durwood; Homecoming",Lincoln (Neb.),40.8327791; -96.6864045,5 x 5 cm,,Negative,RG42-12-01,"Athletics Photos, University Communications Records",University Communications,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",Eng,rg/rg42/rg42-12-01_univ_comm_athletics
421201-00021.tif,421201-00021.jpg,421201-00021,Johnny Carson and Durwood Varner,"Original caption: ""Athletics. Football-KU vs. NE action. Homecoming.  Johnny Carson and Becke Wagner. Homecoming Luncheon."" Johnny Carson and Durwood Varner at Homecoming in 1971 with UNL marching band and stadium in background.",71-1159,10/16/71,"Athletics; Carson, Johnny; Homecoming",Lincoln (Neb.),40.8327791; -96.6864045,5 x 5 cm,,Negative,RG42-12-01,"Athletics Photos, University Communications Records",University Communications,,"For copyright information, please contact the repository.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",Eng,rg/rg42/rg42-12-01_univ_comm_athletics
421201-00111.tif,421201-00111.jpg,421201-00111,Students rolling kettle drums ,"Original caption: ""Photo Prod. Thomson. Nebr. vs Missouri. McCloughan catching pass. Mo-Nebr, Victory Ball exchange.  Coaches & players - sidelines.  Campus bus.  Drum major & band. Kettle drums.  Score board."" Two female and a male student move a kettle drum on to the game field.",64-1619,10/31/64,Athletics; Cheerleading; Drums; Football,Lincoln (Neb.),40.8177792; -96.7016886,6x6 cm,,negative,RG 42-12-01,"Athletics Photos, University Communications Records","University Communications, Photo Services Department","University Communications, Photo Services Department","These images are for educational use only. To inquire about usage or publication, please contact Archives & Special Collections","Archives & Special Collections, University of Nebraska-Lincoln Libraries",Eng,rg/rg42/rg42-12-01_univ_comm_athletics
421201-00112.tif,421201-00112.jpg,421201-00112,Drum major and marching band,"Original caption: ""Photo Prod. Thomson. Nebr. vs Missouri. McCloughan catching pass. Mo-Nebr, Victory Ball exchange.  Coaches & players - sidelines.  Campus bus.  Drum major & band. Kettle drums.  Score board,"" shows the marching band on a football field with their conductor, the stadium is visible in the background.",64-1619,10/31/64,Athletics;  Football; Marching bands,Lincoln (Neb.),40.8177792; -96.7016887,6x6 cm,,negative,RG 42-12-01,"Athletics Photos, University Communications Records","University Communications, Photo Services Department","University Communications, Photo Services Department","These images are for educational use only. To inquire about usage or publication, please contact Archives & Special Collections","Archives & Special Collections, University of Nebraska-Lincoln Libraries",Eng,rg/rg42/rg42-12-01_univ_comm_athletics
421201-00122.tif,421201-00122.jpg,421201-00122,Memorial Stadium ariel view,"Original caption: ""Athletics. 4x5 color transparencies. Aerial shots of the Stadium during Halftime. Band Day- Nebr- South Carolina game.""  ",64-1449,10/10/64,Athletics; Football; Football Stadium; Marching Bands,Lincoln (Neb.),40.8177792; -96.7016895,10x13 cm,,negative,RG 42-12-01,"Athletics Photos, University Communications Records","University Communications, Photo Services Department","University Communications, Photo Services Department","These images are for educational use only. To inquire about usage or publication, please contact Archives & Special Collections","Archives & Special Collections, University of Nebraska-Lincoln Libraries",Eng,rg/rg42/rg42-12-01_univ_comm_athletics
