filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject/topic,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher/repository,language,rosetta collection
2029-00172.tiff,2029-00172.jpeg,2029-00172,1925 Band,"Original caption: ""(ROTC) University of Nebraska Band, Wm. T. Quick director."" Group portrait.",,1924,Cornhusker Marching Band,University of Nebraska-Lincoln,,24.16 x 19.20 cm,B1 F29,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00173.tiff,2029-00173.jpeg,2029-00173,Man plays trumpet,"Original caption: ""Don Lentz. John Berigan. Dean Bushnell."" A man plays trumpet as Lentz watches while seated at a piano.",,undated,"Lentz, Donald A.; Cornhusker Marching Band",University of Nebraska-Lincoln,,23.83 x 18.43 cm,B1 F31,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00174.tiff,2029-00174.jpeg,2029-00174,Don Lentz,"Original caption: ""Don Lentz. 'yeah' 1954."" Don Lentz holds up a clipboard of sheet music and squints into the sun as marching band members stands behind him.",,1954,"Lentz, Donald A.; Cornhusker Marching Band",,,24.19 x 18.43 cm,B1 F31,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00175.tiff,2029-00175.jpeg,2029-00175,Jack Snider and Darwin Fredrickson,"Original caption: ""Jack Snider and Darwin Fredrickson planning shows."" Jack and Darwin sit and stand next to a table set up with a graph of a football frield. They are planning a clover marching band formation.",,undated,"Snider, Jack; Cornhusker Marching Band",University of Nebraska-Lincoln,,23.91 x 18.43 cm,B1 F31,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00176.tiff,2029-00176.jpeg,2029-00176,Orange Bowl parade,"Original caption: ""Orange Bowl 1955 parade."" The Band marches down a street during the Orange Bowl parade.",,undated,"Snider, Jack; Cornhusker Marching Band",Miami (Fla.),,23.62 x 18.83 cm,B1 F33,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00177.tiff,2029-00177.jpeg,2029-00177,Orange Bowl parade,"Original caption: ""Orange Bowl 1955 parade."" The Band marches down a street during a parade. ",,1955,Cornhusker Marching Band,Miami (Fla.),,20.22 x 15.90 cm,B1 F33,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00178.tiff,2029-00178.jpeg,2029-00178,Orange Bowl halftime,"Original caption: ""On the field for half time. Orange Bowl 1955. 'Entry of the Gladiators.""",,1955,Cornhusker Marching Band,Miami (Fla.),,23.74 x 19.36 cm,B1 F33,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00179.tiff,2029-00179.jpeg,2029-00179,Orange Bowl halftime,"Original caption: ""Orange Bowl 1955 half time."" ",,1955,Cornhusker Marching Band,Miami (Fla.),,24.04 x 18.71 cm,B1 F33,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
2029-00180.tiff,2029-00180.jpeg,2029-00180,Orange Bowl,"Original caption: ""Miami, Fla.-Long Parade-Roger Brendele and Harry Spicknall both were tired and hot when the Orange Bowl parade thru greater Miami was finished. More than one half million people watched the parade in 70 degree weather. Star Photo courtesy Miami Daily News via AP Wirephoto,"" ",,1955,Cornhusker Marching Band,Miami (Fla.),,14.73 x 21.27 cm,B1 F33,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.",,,
2029-00181.tiff,2029-00181.jpeg,2029-00181,Don Lentz and Emanuel Wishnow,"Original caption: ""Emanuel Wishnow and Don Lentz."" Emanuel sits on the hood of a car with a cigar in his mouth while Don Lentz stands and playfully punches his hand. ",,1938-1939,"Lentz, Donald A.",,,5.74 x 9.04 cm,B1 F34,black/white print,ACC2029,"Don and Velma Lentz, Papers",,Don  Lentz,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.",,,
