identifier,display name,last name,first names,viaf record,short description,sources / further info
bh.per.001,Samuel Hohman,Hohman,Samuel,-,Director 1879,
bh.per.002,Percival Everett,Everett,Percival,-,Director 1880-1881,
bh.per.003,George Hitchcock,Hitchcock,George,-,Director 1881-1883,possibly in VIAF if he was civil war vet present / survivor of andersonville?
bh.per.004,Adolph Weber,Weber,Adolph,-,Director 1883,
bh.per.005,David F. Easterday,Easterday,David F.,-,Director 1884 - 1898,
bh.per.006,Earle Wehn,Wehn,Earle,-,"Director 1898-1901, had career in film",
bh.per.007,Mortimer Wilson,Wilson,Mortimer,possibly,Director 1901-1903,Not sure if these are the same Mortimer Wilsons? https://en.wikipedia.org/wiki/Mortimer_Wilson  https://nebraskaauthors.org/authors/mortimer-wilson
bh.per.008,August Hagenow,Hagenow,August,-,Director 1903-1911,
bh.per.009,Claire Cornell,Cornell,Claire,-,Director 1911-1917,
bh.per.010,W. T. Quick,Quick,"William ""Billy"" T.",-,Director 1918-1937,
bh.per.011,Donald Lentz,Lentz,Donald,https://viaf.org/viaf/31223714,Director 1937-1960,
bh.per.012,Jack Snider,Snider,Jack,-,Director 1961-1973,
bh.per.013,Robert Fought,Fought,Robert,-,Director 1974-1983,
bh.per.014,William Ballenger,Ballenger,William,-,Director 1983-1986,
bh.per.015,John Kloecker,Kloecker,"John ""Jay""",-,"Director 1987-1994, employment terminated",
bh.per.016,Rod Chesnutt,Chesnutt,Rod,-,Director 1995-1998,
bh.per.017,Craig Cornish,Cornish,Craig,-,Director 1998-2001,
bh.per.018,Anthony Falcone,Falcone,"Anthony ""Tony""",-,Directory 2002-present,
bh.per.019,Doug Bush,Bush,Doug,-,Assistant Director 2002-present,
bh.per.020,Dr. Carolyn A. Barber,Barber,Carolyn A.,-,Director of Bands 2001 - present,
bh.per.021,Lt. Edgar S. Dudley,Dudley,Edgar S.,https://viaf.org/viaf/13891248/,"Commandant 1876-1879, 1884-1888",
bh.per.022,Lt. Isaac T. Webster,Webster,Isaac T.,-,Commandant 1879-1882,
bh.per.023,Lt. Richard Townley,Townley,Richard,-,Commandant 1882-1884,
bh.per.024,Lt. T. W. Griffith,Griffith,T. W.,?,Commandant 1888-1891,
bh.per.025,Lt. John J. Pershing,Pershing,"John J. ""Black Jack""",https://viaf.org/viaf/24713721/,"Commandant, 1891-1895, later 5 star general",
bh.per.026,Cp. Wilson Chase,Chase,Wilson,-,Commandant 1902-1905,
bh.per.027,Lt. F. F. Jewett,Jewett,F. F.,possibly if he's a chemistry type?,?,
bh.per.028,Col. W. H. Oury,Oury,W. H.,-,"Commandant, time unknown",
bh.per.029,Col. Americus Mitchell,Mitchell,Americus,-,"Commandant, time unclear, had been on Pershing's staff",
bh.per.030,Lt. Charles Ledwith,Ledwith,Charles,-,"Creator of band manual, assistant band director",
bh.per.031,Irving J. Manatt,Manatt,Irving J.,,Chancellor 1884-1888,
bh.per.032,James H. Canfield,Canfield,James H.,,Chancellor 1891-1895,
bh.per.033,George E. MacLean,MacLean,George E.,,Chancellor 1895-1899,
bh.per.034,Elisha Andrews,Andrews,Elisha Benjamin,https://viaf.org/viaf/58084314,Chancellor 1900-1908,
bh.per.035,Samuel Avery,Avery,Samuel,https://viaf.org/viaf/54931632,Chancellor 1909-1927,
bh.per.036,Edgar A. Burnett,Burnett,Edgar A.,https://viaf.org/viaf/63148449797315692441,Chancellor 1927-1938,
bh.per.037,Chauncey S. Boucher,Boucher,Chauncey S.,,Chancellor 1938-1946,
bh.per.038,Reuben G. Gustavson,Gustavson,Reuben G.,,Chancellor 1946-1953,
bh.per.039,Clifford M. Hardin,Hardin,Clifford M.,,Chancellor 1954-1968,
bh.per.040,Board of Regents,Board of Regents,,-,"Generic ""person"" in order to filter board of regents related information",
bh.per.041,Judge William G. Hastings,Hastings,William Granger,https://viaf.org/viaf/74240880/,"Acting chancellor during WWI, Dean of College of Law",[]
bh.per.042,John Selleck,Selleck,John K.,-,,
bh.per.043,Willard Kimball,Kimball,Willard,-,School of Music director after Hagenow,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1548&context=greatplainsquarterly
bh.per.044,Harold Holtz,Holtz,Harold,-,,
bh.per.045,Howard Kirkpatrick,Kirkpatrick,Howard,,Director of School of Music,
bh.per.046,Lyle Welch,Welch,Lyle,-,"Possibly spring marching band director, 1937?",
bh.per.047,L. E. Gunderson,Gunderson,L. E.,,"Mentioned in letter to Regents, Lentz interview, financial officer, comptroller of the university",Prairie University
bh.per.048,John G. Neihardt,Neihardt,John Gneisenau,https://viaf.org/viaf/59087102/,,
bh.per.049,George S. Round,Round,George S.,-,Professor of Agricultural Communications,
bh.per.050,Biff Jones,Jones,"Lawrence McCeney ""Biff""",-,Head football coach,
bh.per.051,Bob Devaney,Devaney,"Robert S. ""Bob""",,"Head football coach, athletic director",
bh.per.052,Glenn Miller,Miller,Glenn,,Band leader and musician (not in Nebraska),
bh.per.053,Emanuel Wishnow,Wishnow,Emanuel,,"Director of School of Music, musician",https://libraries.unl.edu/music-library-special-collections#wishnow
bh.per.054,George Barrere,Barrere,George,,,
bh.per.055,Virgil Thomson,Thomson,Virgil,,,
bh.per.056,Vladimir Bakaleinikov,Bakaleinikov,Vladimir,,,
