filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher,language,rosetta collection
570904-00017.tif,570904-00017.jpg,570904-00017,Band members watch train,"Cadet Band members stand on embankment with Union Pacific passenger cars above on bridge, 1916 Oregon trip.",,1916,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,Oregon,"43.804133, -120.554201",,,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00018 .tif,570904-00018 .jpg,570904-00018 ,Union Pacific passenger cars,"Cadet Band members exit from Union Pacific passenger car in Western US, on 1916 trip to Oregon.",,1916,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,Oregon,"43.804133, -120.554201",,,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00019.tif,570904-00019.jpg,570904-00019,ROTC band on the way to Oregon,ROTC Band performs during stop on 1916 Oregon trip,,1916,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,Oregon,"43.804133, -120.554201",,,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00020.tif,570904-00020.jpg,570904-00020,Structure at Glacier National Park,"Large structure at Glacier National Park in Montana, taken on Cadet Band 1916 trip to Oregon.",,1916,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,Glacier National Park,"48.759613, -113.787023",,,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00021.tif,570904-00021.jpg,570904-00021,"Cadet Band in Laramie, Wyoming","Cadet Band in Laramie, Wyoming in snow, on its way to Oregon in 1916.",,1916,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,Laramie (Wyo.),"41.311367, -105.591101",,,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00022.tif,570904-00022.jpg,570904-00022,Cadet Band on stop during trip to Oregon,Cadet Band stands in circle practicing during a stop on its 1916 Oregon trip.,,1916,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,Oregon,"43.804133, -120.554201",,,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00023.tif,570904-00023.jpg,570904-00023,Cadet band on library steps,"Original caption: ""on old library steps (now Arch. Hall) . Director-August Hagenow. Claire Cornell front, left.""",13,1903,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,University of Nebraska,40.8177792; -96.7016829,,B16 F3,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,Leroy White,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00024.tif,570904-00024.jpg,570904-00024,Pep rally parade,"Original caption: ""1913-pep rally parade. Credit-1914 Cornhusker."" An unidentified band dressed in clown outfits sit in a horse drawn wagon with a sign that reads ""Tooting for the Cornhuskers. Wanted; ""Stiehmed Gopher flesh,"" in what is probably downtown Lincoln.",36,1913,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,Lincoln (Neb.),40.8327791; -96.6864045,23.59 x 18.79 cm,B16 F3,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00025.tif,570904-00025.jpg,570904-00025,Cadet Band at summer camp,"Original caption: ""Early 1900s at summer camp."" A group portrait of the University of Nebraska Cadet band posed in front of tents. ",9,undated,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,,,8.48 x 8.57 cm,B16 F3,black/white print,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
570904-00026.tif,570904-00026.jpg,570904-00026,1934-1935 Marching Band,Group photo of the 1934-1935 University of Nebraska marching band.,26,1934-1935,University of Nebraska -- Bands; Marching bands -- Nebraska -- History; Cornhusker Marching Band,University of Nebraska,40.8177792; -96.7016829,23.84 x 15.87 cm,B16 F5,,RG 57-09-04,"Donald A. Lentz, Marching Band Records",,,"To inquire about usage, please contact Archives and Special Collections, University of Nebraska-Lincoln Libraries. These images are provided for educational use only. Not all images are available for publication.","Archives & Special Collections, University of Nebraska-Lincoln Libraries",,rg/rg57/rg57-09-04-band
